time_start,time_end,cloud_description,clouds,precip,temperature,icon,code
2017-01-13,2017-01-14,Overcast_clouds,91.89,0.0,26.89,c04n,804
2017-01-14,2017-01-15,Overcast_clouds,86.27,0.0,24.73,c04n,804
2017-01-15,2017-01-16,Overcast_clouds,89.5,0.0,26.25,c04n,804
2017-01-16,2017-01-17,Overcast_clouds,78.8,0.0,26.9,c04n,804
2017-01-17,2017-01-18,Overcast_clouds,88.5,0.0,22.62,c04n,804
2017-01-18,2017-01-19,Overcast_clouds,85.43,0.0,25.64,c04n,804
2017-01-19,2017-01-20,Overcast_clouds,87.46,0.0,28.38,c04n,804
2017-01-20,2017-01-21,Overcast_clouds,91.7,0.0,25.4,c04n,804
2017-01-21,2017-01-22,Overcast_clouds,92.67,0.0,26.29,c04n,804
2017-01-22,2017-01-23,Overcast_clouds,82.36,0.0,26.82,c04n,804
2017-01-23,2017-01-24,Overcast_clouds,90.38,0.0,28.29,c04n,804
2017-01-24,2017-01-25,Overcast_clouds,90.07,0.0,26.43,c04n,804
2017-01-25,2017-01-26,Overcast_clouds,91.88,0.0,26.62,c04n,804
2017-01-26,2017-01-27,Overcast_clouds,86.38,0.0,25.85,c04n,804
2017-01-27,2017-01-28,Overcast_clouds,78.21,0.0,23.37,c04n,804
2017-01-28,2017-01-29,Overcast_clouds,90.33,0.0,26.78,c04n,804
2017-01-29,2017-01-30,Overcast_clouds,90.64,0.0,24.55,c04n,804
2017-01-30,2017-01-31,Overcast_clouds,79.0,0.0,27.0,c04d,804
