time_start,time_end,temperature,precips,clouds
2018-10-24,2018-10-25,"[22, 22, 22, 22, 22, 22, 22, 22.5, 23, 24, 25, 25, 27, 28, 28, 28, 28, 28, 26, 25.3, 24, 23, 23, 22]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[55, 67, 81, 96, 96, 96, 96, 95, 95, 94, 94, 83, 80, 86, 91, 94, 95, 95, 95, 93, 90, 86, 78, 72]"
2018-10-25,2018-10-26,"[22, 21, 21, 21, 21, 21, 22, 22, 23, 24, 24, 26, 27, 27.2, 27, 28, 28, 28, 27, 25.4, None, None, None, 22]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[80, 92, 95, 95, 94, 89, 60, 65, 66, 49, 36, 33, 28, 27, 26, 30, 39, 47, 51, 65, 79, 77, 73, 54]"
2018-10-26,2018-10-27,"[22, 22, 22, 22, 22, 22, 22, 22, 23, 23, 23.7, 25, 26, 26.1, 27, 27, 26.8, 27, 26, 24.8, 25, 24, 23, 22]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[42, 47, 67, 87, 94, 90, 74, 62, 47, 29, 16, 12, 11, 13, 19, 25, 30, 33, 63, 91, 95, 95, 88, 72]"
2018-10-27,2018-10-28,"[22, 22, 21, 21, 21.5, 22, 22, 22, 24, 24, 25, 26, 27, 27.4, 28, 29, 28.1, 28, 26, 24.7, 24, 23, 23, 22]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[76, 72, 74, 84, 85, 84, 81, 75, 69, 65, 53, 42, 52, 62, 57, 48, 32, 22, 22, 29, 43, 54, 62, 71]"
2018-10-28,2018-10-29,"[23, 22, 22, 22, 22, 22, 22, 22.1, 23, 24, 26, 26, 27, 28, 29, 29, 28, 27, 26, 24.8, 24, 23, 23, 22]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[77, 75, 71, 66, 58, 47, 31, 12, 4, 0, 1, 1, 0, 4, 8, 9, 10, 9, 11, 13, 39, 68, 82, 74]"
2018-10-29,2018-10-30,"[22, 22, 22, 22, 22, 22, 22, 22.1, 23, 24, 24, 25, 27, 26.6, 27, 27, 26.5, 26, 24, 23, 23, 23, 23, 23]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[55, 38, 50, 73, 82, 78, 64, 48, 26, 3, 0, 0, 0, 1, 3, 6, 17, 34, 64, 80, 90, 95, 98, 96]"
2018-10-30,2018-10-31,"[23, 23, 23, 22, 22, 22, 22, 22.7, 23, 24, 25, 26, 27, 27.6, 29, 29, 28.5, 28, 27, 24.9, 24, 23, 23, 23]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[91, 86, 78, 63, 42, 30, 25, 14, 15, 9, 22, 42, 58, 65, 68, 69, 63, 54, 53, 52, 47, 41, 34, 31]"
2018-10-31,2018-11-01,"[23, 22, 23, 22, 23, 22, 22, 22.8, 24, 25, 26, 28, 28, 27.8, 29, 29, 28.7, 28, 27, 25.6, 25, 23, 23, 23]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[34, 49, 61, 67, 65, 51, 25, 5, 0, 0, 0, 0, 0, 1, 3, 8, 13, 18, 20, 20, 20, 21, 27, 34]"
2018-11-01,2018-11-02,"[23, 23, 23, 23, 23, 23, 23, 21.8, 24, 25, 26, 25, 28, 28, 30, 30, 30, 28, 26, 25.3, 25, 24, 23, 23]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[38, 41, 45, 49, 63, 85, 94, 95, 93, 93, 92, 90, 77, 65, 57, 49, 46, 50, 53, 57, 60, 66, 74, 82]"
2018-11-02,2018-11-03,"[23, 23, 23, 23, 23, 23, 23, 22.9, 24, 25, 26, 27, 28, 28.7, 29, 28, 27.7, 27, 26, 25.7, 25, 24, 24, 24]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[88, 94, 94, 96, 98, 98, 97, 97, 97, 93, 83, 76, 71, 80, 81, 70, 53, 38, 33, 33, 40, 50, 51, 67]"
